	-- Created by Nila Niroula for CS3810 HomeWork# 4A
 4A. 

 1) 	-- Below is the table that shows total numbers of passengers who departed colorado on all airlines


  city_name       | state_name | airport |                   unique_carrier_name                   | sum(Passengers)
-----------------------+------------+---------+---------------------------------------------------------+---------
 Denver                | Colorado   | DEN     | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |    2141
 Eagle                 | Colorado   | EGE     | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |      22
 Denver                | Colorado   | DEN     | Alaska Airlines Inc.                                    |   26216
 Colorado Springs      | Colorado   | COS     | Allegiant Air                                           |    2681
 Denver                | Colorado   | DEN     | Allegiant Air                                           |    1776
 Grand Junction        | Colorado   | GJT     | Allegiant Air                                           |    2301
 Colorado Springs      | Colorado   | COS     | American Airlines Inc.                                  |   14379
 Denver                | Colorado   | DEN     | American Airlines Inc.                                  |  150387
 Eagle                 | Colorado   | EGE     | American Airlines Inc.                                  |    2489
 Denver                | Colorado   | DEN     | Ameristar Air Cargo                                     |       0
 Aspen                 | Colorado   | ASE     | Avjet Corporation                                       |       3
 Eagle                 | Colorado   | EGE     | Avjet Corporation                                       |       3
 Alamosa               | Colorado   | ALS     | Boutique Air                                            |     623
 Cortez                | Colorado   | CEZ     | Boutique Air                                            |     772
 Denver                | Colorado   | DEN     | Boutique Air                                            |    2560
 Denver                | Colorado   | DEN     | CFM Inc d/b/a Contour Airlines                          |      14
 Grand Junction        | Colorado   | GJT     | Compass Airlines                                        |     126
 Colorado Springs      | Colorado   | COS     | Delta Air Lines Inc.                                    |    4454
 Denver                | Colorado   | DEN     | Delta Air Lines Inc.                                    |  121942
 Durango               | Colorado   | DRO     | Empire Airlines Inc.                                    |       0
 Denver                | Colorado   | DEN     | Endeavor Air Inc.                                       |     139
 Grand Junction        | Colorado   | GJT     | Envoy Air                                               |    5171
 Montrose/Delta        | Colorado   | MTJ     | Envoy Air                                               |     194
 Colorado Springs      | Colorado   | COS     | ExpressJet Airlines Inc.                                |    2167
 Montrose/Delta        | Colorado   | MTJ     | ExpressJet Airlines Inc.                                |     916
 Colorado Springs      | Colorado   | COS     | Federal Express Corporation                             |       0
 Denver                | Colorado   | DEN     | Federal Express Corporation                             |       0
 Durango               | Colorado   | DRO     | Federal Express Corporation                             |       0
 Grand Junction        | Colorado   | GJT     | Federal Express Corporation                             |       0
 Hayden                | Colorado   | HDN     | Federal Express Corporation                             |       0
 Colorado Springs      | Colorado   | COS     | Frontier Airlines Inc.                                  |   13480
 Denver                | Colorado   | DEN     | Frontier Airlines Inc.                                  |  325226
 Denver                | Colorado   | DEN     | GoJet Airlines LLC d/b/a United Express                 |   47398
 Durango               | Colorado   | DRO     | GoJet Airlines LLC d/b/a United Express                 |    6090
 Eagle                 | Colorado   | EGE     | GoJet Airlines LLC d/b/a United Express                 |    1074
 Hayden                | Colorado   | HDN     | GoJet Airlines LLC d/b/a United Express                 |    1184
